Unnamed: 0,text,code,task_id,test_list
752,This is a function to find minimum k records from tuple list.,"def min_k(test_list, K):
  res = sorted(test_list, key = lambda x: x[1])[:K]
  return (res) ",753,"[assert min_k([('Manjeet', 10), ('Akshat', 4), ('Akash', 2), ('Nikhil', 8)], 2) == [('Akash', 2), ('Akshat', 4)], assert min_k([('Sanjeev', 11), ('Angat', 5), ('Akash', 3), ('Nepin', 9)], 3) == [('Akash', 3), ('Angat', 5), ('Nepin', 9)], assert min_k([('tanmay', 14), ('Amer', 11), ('Ayesha', 9), ('SKD', 16)], 1) == [('Ayesha', 9)]]"
772,This is a function to find the occurrence and position of the substrings within a string.,"import re
def occurance_substring(text,pattern):
 for match in re.finditer(pattern, text):
    s = match.start()
    e = match.end()
    return (text[s:e], s, e)",773,"[assert occurance_substring('python programming, python language','python')==('python', 0, 6), assert occurance_substring('python programming,programming language','programming')==('programming', 7, 18), assert occurance_substring('python programming,programming language','language')==('language', 31, 39)]"
782,This is a function to convert rgb color to hsv color.,"def rgb_to_hsv(r, g, b):
    r, g, b = r/255.0, g/255.0, b/255.0
    mx = max(r, g, b)
    mn = min(r, g, b)
    df = mx-mn
    if mx == mn:
        h = 0
    elif mx == r:
        h = (60 * ((g-b)/df) + 360) % 360
    elif mx == g:
        h = (60 * ((b-r)/df) + 120) % 360
    elif mx == b:
        h = (60 * ((r-g)/df) + 240) % 360
    if mx == 0:
        s = 0
    else:
        s = (df/mx)*100
    v = mx*100
    return h, s, v",783,"[assert rgb_to_hsv(255, 255, 255)==(0, 0.0, 100.0), assert rgb_to_hsv(0, 215, 0)==(120.0, 100.0, 84.31372549019608), assert rgb_to_hsv(10, 215, 110)==(149.26829268292684, 95.34883720930233, 84.31372549019608)]"
805,This is a function to find maximum run of uppercase characters in the given string.,"def max_run_uppercase(test_str):
  cnt = 0
  res = 0
  for idx in range(0, len(test_str)):
    if test_str[idx].isupper():
      cnt += 1
    else:
      res = cnt
      cnt = 0
  if test_str[len(test_str) - 1].isupper():
    res = cnt
  return (res)",806,"[assert max_run_uppercase('GeMKSForGERksISBESt') == 5, assert max_run_uppercase('PrECIOusMOVemENTSYT') == 6, assert max_run_uppercase('GooGLEFluTTER') == 4]"
812,This is a function to find length of the string.,"def string_length(str1):
    count = 0
    for char in str1:
        count += 1
    return count",813,"[assert string_length('python')==6, assert string_length('program')==7, assert string_length('language')==8]"
813,This is a function to find the area of a rombus.,"def rombus_area(p,q):
  area=(p*q)/2
  return area",814,"[assert rombus_area(10,20)==100, assert rombus_area(10,5)==25, assert rombus_area(4,2)==4]"
820,This is a function to merge two dictionaries into a single expression.,"import collections as ct
def merge_dictionaries(dict1,dict2):
    merged_dict = dict(ct.ChainMap({}, dict1, dict2))
    return merged_dict",821,"[assert merge_dictionaries({ ""R"": ""Red"", ""B"": ""Black"", ""P"": ""Pink"" }, { ""G"": ""Green"", ""W"": ""White"" })=={\'B\': \'Black\', \'R\': \'Red\', \'P\': \'Pink\', \'G\': \'Green\', \'W\': \'White\'}, assert merge_dictionaries({ ""R"": ""Red"", ""B"": ""Black"", ""P"": ""Pink"" },{ ""O"": ""Orange"", ""W"": ""White"", ""B"": ""Black"" })=={\'O\': \'Orange\', \'P\': \'Pink\', \'B\': \'Black\', \'W\': \'White\', \'R\': \'Red\'}, assert merge_dictionaries({ ""G"": ""Green"", ""W"": ""White"" },{ ""O"": ""Orange"", ""W"": ""White"", ""B"": ""Black"" })=={\'W\': \'White\', \'O\': \'Orange\', \'G\': \'Green\', \'B\': \'Black\'}]"
856,This is a function to list out the list of given strings individually using map function.,"def listify_list(list1):
  result = list(map(list,list1)) 
  return result ",857,"[assert listify_list(['Red', 'Blue', 'Black', 'White', 'Pink'])==[['R', 'e', 'd'], ['B', 'l', 'u', 'e'], ['B', 'l', 'a', 'c', 'k'], ['W', 'h', 'i', 't', 'e'], ['P', 'i', 'n', 'k']], assert listify_list(['python'])==[['p', 'y', 't', 'h', 'o', 'n']], assert listify_list([' red ', 'green',' black', 'blue ',' orange', 'brown'])==[[' ', 'r', 'e', 'd', ' '], ['g', 'r', 'e', 'e', 'n'], [' ', 'b', 'l', 'a', 'c', 'k'], ['b', 'l', 'u', 'e', ' '], [' ', 'o', 'r', 'a', 'n', 'g', 'e'], ['b', 'r', 'o', 'w', 'n']]]"
888,This is a function to reverse each list in a given list of lists.,"def reverse_list_lists(lists):
    for l in lists:
        l.sort(reverse = True)
    return lists ",889,"[assert reverse_list_lists([[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16]])==[[4, 3, 2, 1], [8, 7, 6, 5], [12, 11, 10, 9], [16, 15, 14, 13]], assert reverse_list_lists([[1,2],[2,3],[3,4]])==[[2,1],[3,2],[4,3]], assert reverse_list_lists([[10,20],[30,40]])==[[20,10],[40,30]]]"
892,This is a python function to get the last element of each sublist.,"def Extract(lst): 
    return [item[-1] for item in lst] ",893,"[assert Extract([[1, 2, 3], [4, 5], [6, 7, 8, 9]]) == [3, 5, 9], assert Extract([['x', 'y', 'z'], ['m'], ['a', 'b'], ['u', 'v']]) == ['z', 'm', 'b', 'v'], assert Extract([[1, 2, 3], [4, 5]]) == [3, 5]]"
900,This is a function to find the smallest multiple of the first n numbers.,"def smallest_multiple(n):
    if (n<=2):
      return n
    i = n * 2
    factors = [number  for number in range(n, 1, -1) if number * 2 > n]
    while True:
        for a in factors:
            if i % a != 0:
                i += n
                break
            if (a == factors[-1] and i % a == 0):
                return i",901,"[assert smallest_multiple(13)==360360, assert smallest_multiple(2)==2, assert smallest_multiple(1)==1]"
902,This is a python function to count the total unset bits from 1 to n.,"def count_Unset_Bits(n) :  
    cnt = 0;  
    for i in range(1,n + 1) : 
        temp = i;  
        while (temp) :  
            if (temp % 2 == 0) : 
                cnt += 1;  
            temp = temp // 2;  
    return cnt;  ",903,"[assert count_Unset_Bits(2) == 1, assert count_Unset_Bits(5) == 4, assert count_Unset_Bits(14) == 17]"
914,This is a function to rearrange positive and negative numbers in a given array using lambda function.,"def rearrange_numbs(array_nums):
  result = sorted(array_nums, key = lambda i: 0 if i == 0 else -1 / i)
  return result ",915,"[assert rearrange_numbs([-1, 2, -3, 5, 7, 8, 9, -10])==[2, 5, 7, 8, 9, -10, -3, -1], assert rearrange_numbs([10,15,14,13,-18,12,-20])==[10, 12, 13, 14, 15, -20, -18], assert rearrange_numbs([-20,20,-10,10,-30,30])==[10, 20, 30, -30, -20, -10]]"
917,This is a function to count coin change.,"def coin_change(S, m, n): 
    table = [[0 for x in range(m)] for x in range(n+1)] 
    for i in range(m): 
        table[0][i] = 1
    for i in range(1, n+1): 
        for j in range(m): 
            x = table[i - S[j]][j] if i-S[j] >= 0 else 0
            y = table[i][j-1] if j >= 1 else 0 
            table[i][j] = x + y   
    return table[n][m-1] ",918,"[assert coin_change([1, 2, 3],3,4)==4, assert coin_change([4,5,6,7,8,9],6,9)==2, assert coin_change([4,5,6,7,8,9],6,4)==1]"
927,This is a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format.,"import re
def change_date_format(dt):
        return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', dt)
        return change_date_format(dt)",928,"[assert change_date_format('2026-01-02')=='02-01-2026', assert change_date_format('2021-01-04')=='04-01-2021', assert change_date_format('2030-06-06')=='06-06-2030']"
940,This is a function to count the elements in a list until an element is a tuple.,"def count_elim(num):
  count_elim = 0
  for n in num:
    if isinstance(n, tuple):
        break
    count_elim += 1
  return count_elim",941,"[assert count_elim([10,20,30,(10,20),40])==3, assert count_elim([10,(20,30),(10,20),40])==1, assert count_elim([(10,(20,30,(10,20),40))])==0]"
956,This is a python function to get the position of rightmost set bit.,"import math
def get_First_Set_Bit_Pos(n):
     return math.log2(n&-n)+1",957,"[assert get_First_Set_Bit_Pos(12) == 3, assert get_First_Set_Bit_Pos(18) == 2, assert get_First_Set_Bit_Pos(16) == 5]"
967,This is a python function to find maximum possible value for the given periodic function.,"def floor_Max(A,B,N):
    x = min(B - 1,N)
    return (A*x) // B",968,"[assert floor_Max(11,10,9) == 9, assert floor_Max(5,7,4) == 2, assert floor_Max(2,2,1) == 1]"
976,"      Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
     
","def truncate_number(number: float) -> float:
    return number % 1.0
",977,"[assert truncate_number(3.5) == 0.5, assert abs(truncate_number(1.33) - 0.33) < 1e-6, assert abs(truncate_number(123.456) - 0.456) < 1e-6]"
993,"      Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
     
","def sort_numbers(numbers: str) -> str:
    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))
",994,"[assert sort_numbers('') == '', assert sort_numbers('three') == 'three', assert sort_numbers('three five nine') == 'three five nine', assert sort_numbers('five zero four seven nine eight') == 'zero four five seven eight nine', assert sort_numbers('six five four three two one zero') == 'zero one two three four five six']"
995,"      Given list of numbers (of at least two elements), apply a linear transform to that list,
    such that the smallest number will become 0 and the largest will become 1
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
     
","def rescale_to_unit(numbers: List[float]) -> List[float]:
    min_number = min(numbers)
    max_number = max(numbers)
    return [(x - min_number) / (max_number - min_number) for x in numbers]
",996,"[assert rescale_to_unit([2.0, 49.9]) == [0.0, 1.0], assert rescale_to_unit([100.0, 49.9]) == [1.0, 0.0], assert rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0]) == [0.0, 0.25, 0.5, 0.75, 1.0], assert rescale_to_unit([2.0, 1.0, 5.0, 3.0, 4.0]) == [0.25, 0.0, 1.0, 0.5, 0.75], assert rescale_to_unit([12.0, 11.0, 15.0, 13.0, 14.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]]"
997,"      Return length of given string
    >>> strlen('')
    0
    >>> strlen('abc')
    3
     
","def strlen(string: str) -> int:
    return len(string)
",998,"[assert strlen('') == 0, assert strlen('x') == 1, assert strlen('asdasnakj') == 9]"
1006,"     
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
     
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])


def find_zero(xs: list):
      xs are coefficients of a polynomial.
    find_zero find x such that poly(x) = 0.
    find_zero returns only only zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non zero coefficient as it guarantees
    a solution.
    >>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x
    -0.5
    >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3
    1.0
     
","def poly(xs: list, x: float):
    begin, end = -1., 1.
    while poly(xs, begin) * poly(xs, end) > 0:
        begin *= 2.0
        end *= 2.0
    while end - begin > 1e-10:
        center = (begin + end) / 2.0
        if poly(xs, center) * poly(xs, begin) > 0:
            begin = center
        else:
            end = center
    return begin
",1007,"[assert math.fabs(poly([-10], sort_third(copy.deepcopy([-10])))) < 1e-4, assert math.fabs(poly([-10, -2], sort_third(copy.deepcopy([-10, -2])))) < 1e-4, assert math.fabs(poly([-3], sort_third(copy.deepcopy([-3])))) < 1e-4, assert math.fabs(poly([-3, -6], sort_third(copy.deepcopy([-3, -6])))) < 1e-4, assert math.fabs(poly([-3, -6, -7], sort_third(copy.deepcopy([-3, -6, -7])))) < 1e-4, assert math.fabs(poly([-3, -6, -7, 7], sort_third(copy.deepcopy([-3, -6, -7, 7])))) < 1e-4, assert math.fabs(poly([8], sort_third(copy.deepcopy([8])))) < 1e-4, assert math.fabs(poly([8, 3], sort_third(copy.deepcopy([8, 3])))) < 1e-4, assert math.fabs(poly([-10], sort_third(copy.deepcopy([-10])))) < 1e-4, assert math.fabs(poly([-10, -8], sort_third(copy.deepcopy([-10, -8])))) < 1e-4, assert math.fabs(poly([-3], sort_third(copy.deepcopy([-3])))) < 1e-4, assert math.fabs(poly([-3, 6], sort_third(copy.deepcopy([-3, 6])))) < 1e-4, assert math.fabs(poly([-3, 6, 9], sort_third(copy.deepcopy([-3, 6, 9])))) < 1e-4, assert math.fabs(poly([-3, 6, 9, -10], sort_third(copy.deepcopy([-3, 6, 9, -10])))) < 1e-4, assert math.fabs(poly([10], sort_third(copy.deepcopy([10])))) < 1e-4, assert math.fabs(poly([10, 7], sort_third(copy.deepcopy([10, 7])))) < 1e-4, assert math.fabs(poly([10, 7, 3], sort_third(copy.deepcopy([10, 7, 3])))) < 1e-4, assert math.fabs(poly([10, 7, 3, -3], sort_third(copy.deepcopy([10, 7, 3, -3])))) < 1e-4, assert math.fabs(poly([8], sort_third(copy.deepcopy([8])))) < 1e-4, assert math.fabs(poly([8, -2], sort_third(copy.deepcopy([8, -2])))) < 1e-4, assert math.fabs(poly([8, -2, -10], sort_third(copy.deepcopy([8, -2, -10])))) < 1e-4, assert math.fabs(poly([8, -2, -10, -5], sort_third(copy.deepcopy([8, -2, -10, -5])))) < 1e-4, assert math.fabs(poly([8, -2, -10, -5, 3], sort_third(copy.deepcopy([8, -2, -10, -5, 3])))) < 1e-4, assert math.fabs(poly([8, -2, -10, -5, 3, 1], sort_third(copy.deepcopy([8, -2, -10, -5, 3, 1])))) < 1e-4, assert math.fabs(poly([8, -2, -10, -5, 3, 1, -2], sort_third(copy.deepcopy([8, -2, -10, -5, 3, 1, -2])))) < 1e-4, assert math.fabs(poly([8, -2, -10, -5, 3, 1, -2, -6], sort_third(copy.deepcopy([8, -2, -10, -5, 3, 1, -2, -6])))) < 1e-4, assert math.fabs(poly([1], sort_third(copy.deepcopy([1])))) < 1e-4, assert math.fabs(poly([1, -7], sort_third(copy.deepcopy([1, -7])))) < 1e-4, assert math.fabs(poly([1, -7, -8], sort_third(copy.deepcopy([1, -7, -8])))) < 1e-4, assert math.fabs(poly([1, -7, -8, 2], sort_third(copy.deepcopy([1, -7, -8, 2])))) < 1e-4, assert math.fabs(poly([1], sort_third(copy.deepcopy([1])))) < 1e-4, assert math.fabs(poly([1, 1], sort_third(copy.deepcopy([1, 1])))) < 1e-4, assert math.fabs(poly([-9], sort_third(copy.deepcopy([-9])))) < 1e-4, assert math.fabs(poly([-9, 4], sort_third(copy.deepcopy([-9, 4])))) < 1e-4, assert math.fabs(poly([-9, 4, 7], sort_third(copy.deepcopy([-9, 4, 7])))) < 1e-4, assert math.fabs(poly([-9, 4, 7, -7], sort_third(copy.deepcopy([-9, 4, 7, -7])))) < 1e-4, assert math.fabs(poly([-9, 4, 7, -7, 2], sort_third(copy.deepcopy([-9, 4, 7, -7, 2])))) < 1e-4, assert math.fabs(poly([-9, 4, 7, -7, 2, -8], sort_third(copy.deepcopy([-9, 4, 7, -7, 2, -8])))) < 1e-4]"
1016,"     Return list with elements incremented by 1.
    >>> incr_list([1, 2, 3])
    [2, 3, 4]
    >>> incr_list([5, 3, 5, 2, 3, 3, 9, 0, 123])
    [6, 4, 6, 3, 4, 4, 10, 1, 124]
     
","def incr_list(l: list):
    return [(e + 1) for e in l]
",1017,"[assert incr_list([]) == [], assert incr_list([3, 2, 1]) == [4, 3, 2], assert incr_list([5, 2, 5, 2, 3, 3, 9, 0, 123]) == [6, 3, 6, 3, 4, 4, 10, 1, 124]]"
1021,"     Return median of elements in the list l.
    >>> median([3, 1, 2, 4, 5])
    3
    >>> median([-10, 4, 6, 1000, 10, 20])
    15.0
     
","def median(l: list):
    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0
",1022,"[assert median([3, 1, 2, 4, 5]) == 3, assert median([-10, 4, 6, 1000, 10, 20]) == 8.0, assert median([5]) == 5, assert median([6, 5]) == 5.5, assert median([8, 1, 3, 9, 9, 2, 7]) == 7 ]"
1043,"     
    You are given a non-empty list of positive integers. Return the greatest integer that is greater than 
    zero, and has a frequency greater than or equal to the value of the integer itself. 
    The frequency of an integer is the number of times it appears in the list.
    If no such a value exist, return -1.
    Examples:
        search([4, 1, 2, 2, 3, 1]) == 2
        search([1, 2, 2, 3, 3, 3, 4, 4, 4]) == 3
        search([5, 5, 4, 4, 4]) == -1
     
","def search(lst):
    frq = [0] * (max(lst) + 1)
    for i in lst:
        frq[i] += 1;

    ans = -1
    for i in range(1, len(frq)):
        if frq[i] >= i:
            ans = i
    
    return ans
",1044,"[assert search([5, 5, 5, 5, 1]) == 1, assert search([4, 1, 4, 1, 4, 4]) == 4, assert search([3, 3]) == -1, assert search([8, 8, 8, 8, 8, 8, 8, 8]) == 8, assert search([2, 3, 3, 2, 2]) == 2, assert search([2, 7, 8, 8, 4, 8, 7, 3, 9, 6, 5, 10, 4, 3, 6, 7, 1, 7, 4, 10, 8, 1]) == 1, assert search([3, 2, 8, 2]) == 2, assert search([6, 7, 1, 8, 8, 10, 5, 8, 5, 3, 10]) == 1, assert search([8, 8, 3, 6, 5, 6, 4]) == -1, assert search([6, 9, 6, 7, 1, 4, 7, 1, 8, 8, 9, 8, 10, 10, 8, 4, 10, 4, 10, 1, 2, 9, 5, 7, 9]) == 1, assert search([1, 9, 10, 1, 3]) == 1, assert search([6, 9, 7, 5, 8, 7, 5, 3, 7, 5, 10, 10, 3, 6, 10, 2, 8, 6, 5, 4, 9, 5, 3, 10]) == 5, assert search([1]) == 1, assert search([8, 8, 10, 6, 4, 3, 5, 8, 2, 4, 2, 8, 4, 6, 10, 4, 2, 1, 10, 2, 1, 1, 5]) == 4, assert search([2, 10, 4, 8, 2, 10, 5, 1, 2, 9, 5, 5, 6, 3, 8, 6, 4, 10]) == 2, assert search([1, 6, 10, 1, 6, 9, 10, 8, 6, 8, 7, 3]) == 1, assert search([9, 2, 4, 1, 5, 1, 5, 2, 5, 7, 7, 7, 3, 10, 1, 5, 4, 2, 8, 4, 1, 9, 10, 7, 10, 2, 8, 10, 9, 4]) == 4, assert search([2, 6, 4, 2, 8, 7, 5, 6, 4, 10, 4, 6, 3, 7, 8, 8, 3, 1, 4, 2, 2, 10, 7]) == 4, assert search([9, 8, 6, 10, 2, 6, 10, 2, 7, 8, 10, 3, 8, 2, 6, 2, 3, 1]) == 2, assert search([5, 5, 3, 9, 5, 6, 3, 2, 8, 5, 6, 10, 10, 6, 8, 4, 10, 7, 7, 10, 8]) == -1, assert search([10]) == -1, assert search([9, 7, 7, 2, 4, 7, 2, 10, 9, 7, 5, 7, 2]) == 2, assert search([5, 4, 10, 2, 1, 1, 10, 3, 6, 1, 8]) == 1, assert search([7, 9, 9, 9, 3, 4, 1, 5, 9, 1, 2, 1, 1, 10, 7, 5, 6, 7, 6, 7, 7, 6]) == 1, assert search([3, 10, 10, 9, 2]) == -1]"
1044,"     
    Given list of integers, return list in strange order.
    Strange sorting, is when you start with the minimum value,
    then maximum of the remaining integers, then minimum and so on.

    Examples:
    strange_sort_list([1, 2, 3, 4]) == [1, 4, 2, 3]
    strange_sort_list([5, 5, 5, 5]) == [5, 5, 5, 5]
    strange_sort_list([]) == []
     
","def strange_sort_list(lst):
    res, switch = [], True
    while lst:
        res.append(min(lst) if switch else max(lst))
        lst.remove(res[-1])
        switch = not switch
    return res
",1045,"[assert strange_sort_list([1, 2, 3, 4]) == [1, 4, 2, 3], assert strange_sort_list([5, 6, 7, 8, 9]) == [5, 9, 6, 8, 7], assert strange_sort_list([1, 2, 3, 4, 5]) == [1, 5, 2, 4, 3], assert strange_sort_list([5, 6, 7, 8, 9, 1]) == [1, 9, 5, 8, 6, 7], assert strange_sort_list([5, 5, 5, 5]) == [5, 5, 5, 5], assert strange_sort_list([]) == [], assert strange_sort_list([1,2,3,4,5,6,7,8]) == [1, 8, 2, 7, 3, 6, 4, 5], assert strange_sort_list([0,2,2,2,5,5,-5,-5]) == [-5, 5, -5, 5, 0, 2, 2, 2], assert strange_sort_list([111111]) == [111111], assert True]"
1070,"     Implement a function that takes an non-negative integer and returns an array of the first n
    integers that are prime numbers and less than n.
    for example:
    count_up_to(5) => [2,3]
    count_up_to(11) => [2,3,5,7]
    count_up_to(0) => []
    count_up_to(20) => [2,3,5,7,11,13,17,19]
    count_up_to(1) => []
    count_up_to(18) => [2,3,5,7,11,13,17]
     
","def count_up_to(n):
    primes = []
    for i in range(2, n):
        is_prime = True
        for j in range(2, i):
            if i % j == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(i)
    return primes

",1071,"[assert count_up_to(5) == [2,3], assert count_up_to(6) == [2,3,5], assert count_up_to(7) == [2,3,5], assert count_up_to(10) == [2,3,5,7], assert count_up_to(0) == [], assert count_up_to(22) == [2,3,5,7,11,13,17,19], assert count_up_to(1) == [], assert count_up_to(18) == [2,3,5,7,11,13,17], assert count_up_to(47) == [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43], assert count_up_to(101) == [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97]]"
1112,"     Evaluate whether the given number n can be written as the sum of exactly 4 positive even numbers
    Example
    is_equal_to_sum_even(4) == False
    is_equal_to_sum_even(6) == False
    is_equal_to_sum_even(8) == True
     
","def is_equal_to_sum_even(n):
    return n%2 == 0 and n >= 8
",1113,"[assert is_equal_to_sum_even(4) == False, assert is_equal_to_sum_even(6) == False, assert is_equal_to_sum_even(8) == True, assert is_equal_to_sum_even(10) == True, assert is_equal_to_sum_even(11) == False, assert is_equal_to_sum_even(12) == True, assert is_equal_to_sum_even(13) == False, assert is_equal_to_sum_even(16) == True]"
1114,"     
    Given a string text, replace all spaces in it with underscores, 
    and if a string has more than 2 consecutive spaces, 
    then replace all consecutive spaces with - 
    
    fix_spaces(""Example"") == ""Example""
    fix_spaces(""Example 1"") == ""Example_1""
    fix_spaces("" Example 2"") == ""_Example_2""
    fix_spaces("" Example   3"") == ""_Example-3""
     
","def fix_spaces(text):
    new_text = """"
    i = 0
    start, end = 0, 0
    while i < len(text):
        if text[i] == "" "":
            end += 1
        else:
            if end - start > 2:
                new_text += ""-""+text[i]
            elif end - start > 0:
                new_text += ""_""*(end - start)+text[i]
            else:
                new_text += text[i]
            start, end = i+1, i+1
        i+=1
    if end - start > 2:
        new_text += ""-""
    elif end - start > 0:
        new_text += ""_""
    return new_text
",1115,"[assert fix_spaces(""Example"") == ""Example"", ""This prints if this assert fails 1 (good for debugging!)"", assert fix_spaces(""Mudasir Hanif "") == ""Mudasir_Hanif_"", ""This prints if this assert fails 2 (good for debugging!)"", assert fix_spaces(""Yellow Yellow  Dirty  Fellow"") == ""Yellow_Yellow__Dirty__Fellow"", ""This prints if this assert fails 3 (good for debugging!)"", assert fix_spaces(""Exa   mple"") == ""Exa-mple"", ""This prints if this assert fails 4 (good for debugging!)"", assert fix_spaces(""   Exa 1 2 2 mple"") == ""-Exa_1_2_2_mple"", ""This prints if this assert fails 4 (good for debugging!)""]"
1122,"     
    There are eight planets in our solar system: the closerst to the Sun 
    is Mercury, the next one is Venus, then Earth, Mars, Jupiter, Saturn, 
    Uranus, Neptune.
    This is a function that takes two planet names as strings planet1 and planet2. 
    The function should return a tuple containing all planets whose orbits are 
    located between the orbit of planet1 and the orbit of planet2, sorted by 
    the proximity to the sun. 
    The function should return an empty tuple if planet1 or planet2
    are not correct planet names. 
    Examples
    bf(""Jupiter"", ""Neptune"") ==> (""Saturn"", ""Uranus"")
    bf(""Earth"", ""Mercury"") ==> (""Venus"")
    bf(""Mercury"", ""Uranus"") ==> (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"")
     
","def bf(planet1, planet2):
    planet_names = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    if planet1 not in planet_names or planet2 not in planet_names or planet1 == planet2:
        return ()
    planet1_index = planet_names.index(planet1)
    planet2_index = planet_names.index(planet2)
    if planet1_index < planet2_index:
        return (planet_names[planet1_index + 1: planet2_index])
    else:
        return (planet_names[planet2_index + 1 : planet1_index])
",1123,"[assert bf(""Jupiter"", ""Neptune"") == (""Saturn"", ""Uranus""), ""First test error: "" + str(len(bf(""Jupiter"", ""Neptune"")))      , assert bf(""Earth"", ""Mercury"") == (""Venus"",), ""Second test error: "" + str(bf(""Earth"", ""Mercury""))  , assert bf(""Mercury"", ""Uranus"") == (""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn""), ""Third test error: "" + str(bf(""Mercury"", ""Uranus""))      , assert bf(""Neptune"", ""Venus"") == (""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus""), ""Fourth test error: "" + str(bf(""Neptune"", ""Venus""))  , assert bf(""Earth"", ""Earth"") == (), assert bf(""Mars"", ""Earth"") == (), assert bf(""Jupiter"", ""Makemake"") == ()]"
1124,"     A simple program which should return the value of x if n is 
    a prime number and should return the value of y otherwise.

    Examples:
    for x_or_y(7, 34, 12) == 34
    for x_or_y(15, 8, 5) == 5
    
     
","def x_or_y(n, x, y):
    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
",1125,"[assert x_or_y(7, 34, 12) == 34, assert x_or_y(15, 8, 5) == 5, assert x_or_y(3, 33, 5212) == 33, assert x_or_y(1259, 3, 52) == 3, assert x_or_y(7919, -1, 12) == -1, assert x_or_y(3609, 1245, 583) == 583, assert x_or_y(91, 56, 129) == 129, assert x_or_y(6, 34, 1234) == 1234, assert x_or_y(1, 2, 0) == 0, assert x_or_y(2, 2, 0) == 2]"
1137,"     
    Given two positive integers a and b, return the even digits between a
    and b, in ascending order.

    For example:
    generate_integers(2, 8) => [2, 4, 6, 8]
    generate_integers(8, 2) => [2, 4, 6, 8]
    generate_integers(10, 14) => []
     
","def generate_integers(a, b):
    lower = max(2, min(a, b))
    upper = min(8, max(a, b))

    return [i for i in range(lower, upper+1) if i % 2 == 0]
",1138,"[assert generate_integers(2, 10) == [2, 4, 6, 8], assert generate_integers(10, 2) == [2, 4, 6, 8], assert generate_integers(132, 2) == [2, 4, 6, 8], assert generate_integers(17,89) == []]"
