Unnamed: 0,text,code,task_id,test_list,Unnamed: 5
638, this function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,"function sample_nam(sample_names) {
  
  sample_names = sample_names.filter(el => 
    /^[A-Z][a-z]*$/.test(el) 
  );
  
  return sample_names.join("""").length;
}",639,"[console.assert(sample_nam([""sally"", ""Dylan"", ""rebecca"", ""Diana"", ""Joanne"", ""keith""]) === 16, ""Test 1 Failed""),
console.assert(sample_nam([""php"", ""res"", "" "", ""abcd"", ""Java"", ""aaa""]) === 4, ""Test 2 Failed""),
console.assert(sample_nam([""abcd"", "" "", ""abba"", ""aba""]) === 0, ""Test 3 Failed"")]",
640, this function to find the nth nonagonal number.,"
function isNonagonal(n) {
    return Math.floor(n * (7 * n - 5) / 2);
}
",641,"[
    console.assert(isNonagonal(10) === 325),
    console.assert(isNonagonal(15) === 750),
    console.assert(isNonagonal(18) === 1089)
]",
644, this function to find the product of it’s kth index in the given tuples.,"function find_k_product(test_list, K) {
  let res = 1;
  for (let sub of test_list) {
    res *= sub[K]; 
  }
  return res;
}",645,"[console.assert(find_k_product([[1, 2, 3], [4, 5, 6], [7, 8, 9]], 1) === 2 * 5 * 8, ""Test 1 Failed""),
console.assert(find_k_product([[2, 3], [4, 5], [6, 7]], 0) === 2 * 4 * 6, ""Test 2 Failed""), 
console.assert(find_k_product([[1, 2], [3, 4], [5, 6]], 1) === 2 * 4 * 6, ""Test 3 Failed"")]",
648, this   function to calculate the sum of the numbers in a list between the indices of a specified range.,"
function sum_Range_list(nums, m, n) {
    let sumRange = 0;
    for (let i = m; i <= n; i++) {
        sumRange += nums[i];
    }
    return sumRange;
}
",649,"
[console.assert(sum_Range_list([2, 1, 5, 6, 8, 3, 4, 9, 10, 11, 8, 12], 8, 10) === 29), console.assert(sum_Range_list([1, 2, 3, 4, 5], 1, 2) === 5), console.assert(sum_Range_list([1, 0, 1, 2, 5, 6], 4, 5) === 11)]
",
658, this   function to print duplicants from a list of integers.,"
function Repeat(x) {
    var _size = x.length;
    var repeated = [];
    for (var i = 0; i < _size; i++) {
        var k = i + 1;
        for (var j = k; j < _size; j++) {
            if (x[i] === x[j] && repeated.indexOf(x[i]) === -1) {
                repeated.push(x[i]);
            }
        }
    }
    return repeated;
}
",659,"
[console.assert(Repeat([10, 20, 30, 20, 20, 30, 40, 50, -20, 60, 60, -20, -20]).toString() === [20, 30, -20, 60].toString()), console.assert(Repeat([-1, 1, -1, 8]).toString() === [-1].toString()), console.assert(Repeat([1, 2, 3, 1, 2]).toString() === [1, 2].toString())]
",
670, this   function to set the right most unset bit.,"
function get_Pos_Of_Right_most_Set_Bit(n) { 
    return Math.floor(Math.log2(n & -n)) + 1; 
}

function set_Right_most_Unset_Bit(n) { 
    if (n === 0) { 
        return 1; 
    } 
    if ((n & (n + 1)) === 0) {     
        return n; 
    } 
    const pos = get_Pos_Of_Right_most_Set_Bit(~n);      
    return ((1 << (pos - 1)) | n); 
}
",671,"
[console.assert(set_Right_most_Unset_Bit(21) === 23), console.assert(set_Right_most_Unset_Bit(11) === 15), console.assert(set_Right_most_Unset_Bit(15) === 15)]
",
673, this function to remove duplicate words from a given string using collections module.,"function removeDuplicate(string) {
  const words = string.split("" "");
  const seen = new Set();
  let result = """";

  for (const word of words) {
    if (!seen.has(word) || word === """") {
      seen.add(word);
      result += word + "" "";
    }
  }

  return result.trimEnd(); 
}",674,"[console.assert(removeDuplicate(""  Exercises Practice Solution Exercises"") === ""  Exercises Practice Solution"", ""Test 1 Failed""),
console.assert(removeDuplicate(""  Exercises Practice Solution Practice"") === ""  Exercises Practice Solution"", ""Test 3 Failed"")
]",
681, this function to multiply two lists using map and lambda function.,"
function mulList(nums1, nums2) {
  return Array.from(nums1.map((x, i) => x * nums2[i]));
}
",682,"
[console.assert(mulList([1, 2, 3], [4, 5, 6]).toString() === [4, 10, 18].toString()), 
 console.assert(mulList([1, 2], [3, 4]).toString() === [3, 8].toString()), 
 console.assert(mulList([90, 120], [50, 70]).toString() === [4500, 8400].toString())]
",
686, this function to find the greatest common divisor (gcd) of two integers by using recursion.,"
function recurGcd(a, b) {
    const low = Math.min(a, b);
    const high = Math.max(a, b);
    if (low === 0) {
        return high;
    } else if (low === 1) {
        return 1;
    } else {
        return recurGcd(low, high % low);
    }
}
",687,"
[console.assert(recurGcd(12, 14) === 2), console.assert(recurGcd(13, 17) === 1), console.assert(recurGcd(9, 3) === 3)]
",
708, this function to count unique keys for each value present in the tuple.,"function getUnique(testList) {
  let res = {};
  
  for (let sub of testList) {
      if (!res[sub[1]]) {
          res[sub[1]] = new Set(); 
      }
      res[sub[1]].add(sub[0]);
  }

  let resDict = {};
  for (let key in res) {
      resDict[key] = res[key].size; 
  }
  return resDict;
}",709,"[console.assert(
  JSON.stringify(getUnique([[3, 4], [1, 2], [2, 4], [8, 2], [7, 2], [8, 1], [9, 1], [8, 4], [10, 4]])) 
  === JSON.stringify({4: 4, 2: 3, 1: 2}), 
  ""Test 1 Failed""
),
console.assert(
  JSON.stringify(getUnique([[4, 5], [2, 3], [3, 5], [9, 3], [8, 3], [9, 2], [10, 2], [9, 5], [11, 5]])) 
  === JSON.stringify({5: 4, 3: 3, 2: 2}), 
  ""Test 2 Failed""
),
console.assert(
  JSON.stringify(getUnique([[6, 5], [3, 4], [2, 6], [11, 1], [8, 22], [8, 11], [4, 3], [14, 3], [11, 6]])) 
  === JSON.stringify({5: 1, 4: 1, 6: 2, 1: 1, 22: 1, 11: 1, 3: 2}), 
  ""Test 3 Failed""
)]",
710, this   function to check whether the product of digits of a number at even and odd places is equal or not.,"
function productEqual(n) {
    if (n < 10) {
        return false;
    }
    let prodOdd = 1, prodEven = 1;
    while (n > 0) {
        let digit = n % 10;
        prodOdd *= digit;
        n = Math.floor(n / 10);
        if (n == 0) {
            break;
        }
        digit = n % 10;
        prodEven *= digit;
        n = Math.floor(n / 10);
    }
    return prodOdd === prodEven;
}
",711,"[
  console.assert(productEqual(2841) === true),
  console.assert(productEqual(1234) === false),
  console.assert(productEqual(1212) === false)
]",
711, this function to remove duplicates from a list of lists.,"function removeDuplicate(list1) {
  const seen = new Set();
  const uniqueList = [];

  for (let item of list1) {
    const key = JSON.stringify(item); 
    if (!seen.has(key)) {
      seen.add(key);
      uniqueList.push(item);
    }
  }

  return uniqueList;
}",712,"[console.assert(
  JSON.stringify(removeDuplicate([[10, 20], [40], [30, 56, 25], [10, 20], [33], [40]])) 
  === JSON.stringify([[10, 20], [40], [30, 56, 25], [33]]), 
  ""Test 1 Failed""
),
console.assert(
  JSON.stringify(removeDuplicate([""a"", ""b"", ""a"", ""c"", ""c""])) 
  === JSON.stringify([""a"", ""b"", ""c""]), 
  ""Test 2 Failed""
),
console.assert(
  JSON.stringify(removeDuplicate([1, 3, 5, 6, 3, 5, 6, 1])) 
  === JSON.stringify([1, 3, 5, 6]), 
  ""Test 3 Failed""
)]",
736, this function to check whether the given string is starting with a vowel or not using regex.,"
const regex = /^[aeiouAEIOU][A-Za-z0-9_]*$/;

function checkStr(string) {
    if (regex.test(string)) {
        return ""Valid"";
    } else {
        return ""Invalid"";
    }
}
",737,"
[console.assert(checkStr(""annie"") === ""Valid""), console.assert(checkStr(""dawood"") === ""Invalid""), console.assert(checkStr(""Else"") === ""Valid"")]
",
752, this function to find minimum k records from tuple list.,"
function min_k(test_list, K) {
    let res = test_list.sort((a, b) => a[1] - b[1]).slice(0, K);
    return res;
}
",753,"[
  console.assert(JSON.stringify(min_k([[""Manjeet"", 10], [""Akshat"", 4], [""Akash"", 2], [""Nikhil"", 8]], 2)) === JSON.stringify([[""Akash"", 2], [""Akshat"", 4]])),
  console.assert(JSON.stringify(min_k([[""Sanjeev"", 11], [""Angat"", 5], [""Akash"", 3], [""Nepin"", 9]], 3)) === JSON.stringify([[""Akash"", 3], [""Angat"", 5], [""Nepin"", 9]])),
  console.assert(JSON.stringify(min_k([[""tanmay"", 14], [""Amer"", 11], [""Ayesha"", 9], [""SKD"", 16]], 1)) === JSON.stringify([[""Ayesha"", 9]]))
]",
772, this function to find the occurrence and position of the substrings within a string.,"function occuranceSubstring(text, pattern) {
  const regex = new RegExp(pattern, ""g""); 
  let matches = [];
  let match;
  
  while ((match = regex.exec(text)) !== null) {
    const s = match.index;
    const e = regex.lastIndex;
    matches.push([text.slice(s, e), s, e]);
  }
  
  return matches.length > 0 ? matches : null; 
}",773,"[console.assert(JSON.stringify(occuranceSubstring(""hello world, hello"", ""hello"")) === JSON.stringify([[""hello"", 0, 5], [""hello"", 13, 18]]), ""Test 1 Failed""),
console.assert(JSON.stringify(occuranceSubstring(""abcabcabc"", ""abc"")) === JSON.stringify([[""abc"", 0, 3], [""abc"", 3, 6], [""abc"", 6, 9]]), ""Test 2 Failed""),
console.assert(occuranceSubstring(""abcdef"", ""xyz"") === null, ""Test 3 Failed"")]",
782, this function to convert rgb color to hsv color.,"function rgbToHsv(r, g, b) {
  r /= 255.0;
  g /= 255.0;
  b /= 255.0;
  let mx = Math.max(r, g, b);
  let mn = Math.min(r, g, b);
  let df = mx - mn;
  let h, s, v;

  if (mx === mn) {
      h = 0;
  } else if (mx === r) {
      h = (60 * ((g - b) / df) + 360) % 360;
  } else if (mx === g) {
      h = (60 * ((b - r) / df) + 120) % 360;
  } else if (mx === b) {
      h = (60 * ((r - g) / df) + 240) % 360;
  }

  s = mx === 0 ? 0 : (df / mx) * 100;
  v = mx * 100;

  return [h, s, v];  
}",783,"[console.assert(JSON.stringify(rgbToHsv(255, 255, 255)) === JSON.stringify([0, 0, 100]), ""Test 1 Failed""),
console.assert(JSON.stringify(rgbToHsv(0, 215, 0)) === JSON.stringify([120, 100, 84.31372549019608]), ""Test 2 Failed""),
console.assert(JSON.stringify(rgbToHsv(10, 215, 110)) === JSON.stringify([149.26829268292684, 95.34883720930233, 84.31372549019608]), ""Test 3 Failed"")]",
805, this function to find maximum run of uppercase characters in the given string.,"
function maxRunUppercase(testStr) {
  let cnt = 0;
  let res = 0;
  for (let idx = 0; idx < testStr.length; idx++) {
    if (testStr[idx] === testStr[idx].toUpperCase()) {
      cnt++;
    } else {
      res = cnt;
      cnt = 0;
    }
  }
  if (testStr[testStr.length - 1] === testStr[testStr.length - 1].toUpperCase()) {
    res = cnt;
  }
  return res;
}",806,"[
  console.assert(maxRunUppercase('GeMKSForGERksISBESt') === 5),
  console.assert(maxRunUppercase(""PrECIOusMOVemENTSYT"") === 6),
  console.assert(maxRunUppercase(""GooGLEFluTTER"") === 4)]",
812, this function to find length of the string.,"
function stringLength(str1) {
  let count = 0;
  for (let char of str1) {
      count += 1;
  }
  return count;
}",813,"[
  console.assert(stringLength('') === 0),
  console.assert(stringLength('program') === 7),
  console.assert(stringLength('language') === 8)
]",
813, this function to find the area of a rombus.,"
function rombusArea(p, q) {
    var area = (p * q) / 2;
    return area;
}
",814,"
[console.assert(rombusArea(10, 20) === 100), console.assert(rombusArea(10, 5) === 25), console.assert(rombusArea(4, 2) === 4)]
",
820, this function to merge two dictionaries into a single expression.,"function mergeDictionaries(dict1, dict2) {
  const mergedDict = { ...dict2, ...dict1 };
  return mergedDict;
}",821,"[console.assert(JSON.stringify(Object.values(mergeDictionaries({ ""R"": ""Red"", ""B"": ""Black"", ""P"": ""Pink"" }, { ""G"": ""Green"", ""W"": ""White"" })).sort()) === JSON.stringify(Object.values({ ""B"": ""Black"", ""R"": ""Red"", ""P"": ""Pink"", ""G"": ""Green"", ""W"": ""White"" }).sort()), ""Test 1 Failed""),
console.assert(JSON.stringify(Object.values(mergeDictionaries({ ""R"": ""Red"", ""B"": ""Black"", ""P"": ""Pink"" }, { ""O"": ""Orange"", ""W"": ""White"", ""B"": ""Black"" })).sort()) === JSON.stringify(Object.values({ ""O"": ""Orange"", ""P"": ""Pink"", ""B"": ""Black"", ""W"": ""White"", ""R"": ""Red"" }).sort()), ""Test 2 Failed""),
console.assert(JSON.stringify(Object.values(mergeDictionaries({ ""G"": ""Green"", ""W"": ""White"" }, { ""O"": ""Orange"", ""W"": ""White"", ""B"": ""Black"" })).sort()) === JSON.stringify(Object.values({ ""W"": ""White"", ""O"": ""Orange"", ""G"": ""Green"", ""B"": ""Black"" }).sort()), ""Test 3 Failed"")]",
856, this function to list out the list of given strings individually using map function.,"
function listifyList(list1) {
  const result = list1.map(item => Array.from(item));
  return result;
}
",857,"[
  console.assert(
    JSON.stringify(listifyList([""Red"", ""Blue"", ""Black"", ""White"", ""Pink""])) === 
    JSON.stringify([[""R"", ""e"", ""d""], [""B"", ""l"", ""u"", ""e""], [""B"", ""l"", ""a"", ""c"", ""k""], [""W"", ""h"", ""i"", ""t"", ""e""], [""P"", ""i"", ""n"", ""k""]])
  ),
  console.assert(
    JSON.stringify(listifyList([""red"", ""green"", ""black"", ""blue"", ""orange"", ""brown""])) === 
    JSON.stringify([[""r"", ""e"", ""d""], [""g"", ""r"", ""e"", ""e"", ""n""], [""b"", ""l"", ""a"", ""c"", ""k""], [""b"", ""l"", ""u"", ""e""], [""o"", ""r"", ""a"", ""n"", ""g"", ""e""], [""b"", ""r"", ""o"", ""w"", ""n""]])
  )
]",
888, this function to reverse each list in a given list of lists.,"function reverseListLists(lists) {
  for (let l of lists) {
      l.sort((a, b) => b - a);
  }
  return lists;
}",889,"
[console.assert(JSON.stringify(reverseListLists([[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16]])) === JSON.stringify([[4, 3, 2, 1], [8, 7, 6, 5], [12, 11, 10, 9], [16, 15, 14, 13]]), ""Test 1 Failed""),
console.assert(JSON.stringify(reverseListLists([[1, 2], [2, 3], [3, 4]])) === JSON.stringify([[2, 1], [3, 2], [4, 3]]), ""Test 2 Failed""),
console.assert(JSON.stringify(reverseListLists([[10, 20], [30, 40]])) === JSON.stringify([[20, 10], [40, 30]]), ""Test 3 Failed"")]",
892, this   function to get the last element of each sublist.,"function Extract(lst) { 
  return lst.map(item => item[item.length - 1]); 
}",893,"[
  console.assert(JSON.stringify(Extract([[1, 2, 3], [4, 5], [6, 7, 8, 9]])) === JSON.stringify([3, 5, 9]), ""Test 1 Failed""),
  console.assert(JSON.stringify(Extract([[""x"", ""y"", ""z""], [""m""], [""a"", ""b""], [""u"", ""v""]])) === JSON.stringify([""z"", ""m"", ""b"", ""v""]), ""Test 2 Failed""),
  console.assert(JSON.stringify(Extract([[1, 2, 3], [4, 5]])) === JSON.stringify([3, 5]), ""Test 3 Failed"")
]",
900, this function to find the smallest multiple of the first n numbers.,"
function smallestMultiple(n) {
    if (n <= 2) {
        return n;
    }
    let i = n * 2;
    let factors = [];
    for (let number = n; number > 1; number--) {
        if (number * 2 > n) {
            factors.push(number);
        }
    }
    while (true) {
        for (let a of factors) {
            if (i % a !== 0) {
                i += n;
                break;
            }
            if (a === factors[factors.length - 1] && i % a === 0) {
                return i;
            }
        }
    }
}
",901,"
[console.assert(smallestMultiple(13) === 360360), console.assert(smallestMultiple(2) === 2), console.assert(smallestMultiple(1) === 1)]
",
902, this   function to count the total unset bits from 1 to n.,"
function count_Unset_Bits(n) {  
    let cnt = 0;  
    for (let i = 1; i <= n; i++) {  
        let temp = i;  
        while (temp) {  
            if (temp % 2 === 0) {  
                cnt++;  
            }  
            temp = Math.floor(temp / 2);  
        }  
    }  
    return cnt;  
}
",903,"
[console.assert(count_Unset_Bits(2) === 1), console.assert(count_Unset_Bits(5) === 4), console.assert(count_Unset_Bits(14) === 17)]",
914, this function to rearrange positive and negative numbers in a given array using lambda function.,"
function rearrangeNumbs(arrayNums) {
  const result = arrayNums.sort((a, b) => (a === 0 ? 0 : -1 / a) - (b === 0 ? 0 : -1 / b));
  return result;
}
",915,"[
  console.assert(rearrangeNumbs([-1, 2, -3, 5, 7, 8, 9, -10]).toString() === [2, 5, 7, 8, 9, -10, -3, -1].toString()),
  console.assert(rearrangeNumbs([10, 15, 14, 13, -18, 12, -20]).toString() === [10, 12, 13, 14, 15, -20, -18].toString()),
  console.assert(rearrangeNumbs([-20, 20, -10, 10, -30, 30]).toString() === [10, 20, 30, -30, -20, -10].toString())
]",
917, this function to count coin change.,"
function coinChange(S, m, n) {
    let table = Array.from({ length: n + 1 }, () => Array(m).fill(0));
    for (let i = 0; i < m; i++) {
        table[0][i] = 1;
    }
    for (let i = 1; i <= n; i++) {
        for (let j = 0; j < m; j++) {
            let x = (i - S[j] >= 0) ? table[i - S[j]][j] : 0;
            let y = (j >= 1) ? table[i][j - 1] : 0;
            table[i][j] = x + y;
        }
    }
    return table[n][m - 1];
}
",918,"
[console.assert(coinChange([1, 2, 3], 3, 4) === 4), console.assert(coinChange([4, 5, 6, 7, 8, 9], 6, 9) === 2), console.assert(coinChange([4, 5, 6, 7, 8, 9], 6, 4) === 1)]
",
927, this function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format.,"
function changeDateFormat(dt) {
  return dt.replace(/(\d{4})-(\d{1,2})-(\d{1,2})/, (_, year, month, day) => `${day}-${month}-${year}`);
}",928,"[
  console.assert(changeDateFormat(""2026-01-02"") === ""02-01-2026""),
  console.assert(changeDateFormat(""2021-01-04"") === ""04-01-2021""),
  console.assert(changeDateFormat(""2030-06-06"") === ""06-06-2030"")
]",
940, this function to count the elements in a list until an element is a tuple.,"
function countElim(num) {
    let countElim = 0;
    for (let n of num) {
        if (Array.isArray(n) && n.length === 2) {
            break;
        }
        countElim += 1;
    }
    return countElim;
}
",941,"[
console.assert(countElim([10, 20, 30, [10, 20], 40]) === 3),
console.assert(countElim([10, [20, 30], [10, 20], 40]) === 1),
console.assert(countElim([[10, [20, 30, [10, 20], 40]]]) === 0)]
",
956, this   function to get the position of rightmost set bit.,"
function get_First_Set_Bit_Pos(n) {
    return Math.log2(n & -n) + 1;
}
",957,"
[console.assert(get_First_Set_Bit_Pos(12) === 3), console.assert(get_First_Set_Bit_Pos(18) === 2), console.assert(get_First_Set_Bit_Pos(16) === 5)]
",
967, this   function to find maximum possible value for the given periodic function.,"
function floor_Max(A, B, N) {
    let x = Math.min(B - 1, N);
    return Math.floor((A * x) / B);
}
",968,"
[console.assert(floor_Max(11,10,9) === 9), console.assert(floor_Max(5,7,4) === 2), console.assert(floor_Max(2,2,1) === 1)]
",
976,This function returns the decimal part of a positive floating point number by subtracting its integer part.,"
function truncateNumber(number) {
    return number % 1.0;
}
",977,"
[console.assert(truncateNumber(3.5) === 0.5), console.assert(Math.abs(truncateNumber(1.33) - 0.33) < 1e-6), console.assert(Math.abs(truncateNumber(123.456) - 0.456) < 1e-6)]
",
993,This function takes a space-delimited string of number words and returns the string with the numbers sorted in ascending order.,"function sortNumbers(numbers) {
    const valueMap = {
        zero: 0,
        one: 1,
        two: 2,
        three: 3,
        four: 4,
        five: 5,
        six: 6,
        seven: 7,
        eight: 8,
        nine: 9
    };

    return numbers
        .filter(x => valueMap.hasOwnProperty(x)) 
        .sort((a, b) => valueMap[a] - valueMap[b]); 
}",994,"[
  console.assert(JSON.stringify(sortNumbers([])) === JSON.stringify([])),
  console.assert(JSON.stringify(sortNumbers([""three""])) === JSON.stringify([""three""])),
  console.assert(JSON.stringify(sortNumbers([""five"", ""zero"", ""four"", ""seven"", ""nine"", ""eight""])) === JSON.stringify([""zero"", ""four"", ""five"", ""seven"", ""eight"", ""nine""])),
  console.assert(JSON.stringify(sortNumbers([""six"", ""five"", ""four"", ""three"", ""two"", ""one"", ""zero""])) === JSON.stringify([""zero"", ""one"", ""two"", ""three"", ""four"", ""five"", ""six""]))
]",
995,This function applies a linear transformation to a list of numbers so that the smallest number becomes 0 and the largest becomes 1.,"
function rescaleToUnit(numbers) {
    const minNumber = Math.min(...numbers);
    const maxNumber = Math.max(...numbers);
    return numbers.map(x => (x - minNumber) / (maxNumber - minNumber));
}
",996,"
[console.assert(JSON.stringify(rescaleToUnit([2.0, 49.9])) === JSON.stringify([0.0, 1.0])), 
 console.assert(JSON.stringify(rescaleToUnit([100.0, 49.9])) === JSON.stringify([1.0, 0.0])), 
 console.assert(JSON.stringify(rescaleToUnit([1.0, 2.0, 3.0, 4.0, 5.0])) === JSON.stringify([0.0, 0.25, 0.5, 0.75, 1.0])), 
 console.assert(JSON.stringify(rescaleToUnit([2.0, 1.0, 5.0, 3.0, 4.0])) === JSON.stringify([0.25, 0.0, 1.0, 0.5, 0.75])), 
 console.assert(JSON.stringify(rescaleToUnit([12.0, 11.0, 15.0, 13.0, 14.0])) === JSON.stringify([0.25, 0.0, 1.0, 0.5, 0.75]))]
",
997,This function returns the length of a given string.,"
function strlen(string) {
    return string.length;
}",998,"[
  console.assert(polyAndFindRoot([1, 2, 3]) !== undefined, 'The function should return a result'),
  console.assert(Math.abs(polyAndFindRoot([1, -3, 2]) - 1.0) < 1e-10, 'Expected result to be 1.0'),
  console.assert(Math.abs(polyAndFindRoot([1, 0]) - 0) < 1e-10, 'Expected result to be 0'),
  console.assert(polyAndFindRoot([1, -1, 1]) !== undefined, 'Function should return a result even if no real roots exist')
]",
1006,"this function  takes the coefficients of a polynomial, represented by the list xs, and finds a root x such that poly(x) = 0. It guarantees a solution only for polynomials with an even number of coefficients and a non-zero largest coefficient
","function polyAndFindRoot(xs) {
  let begin = -1.0, end = 1.0;

  while (xs.reduce((acc, coef, i) => acc + coef * Math.pow(begin, xs.length - i - 1), 0) * 
         xs.reduce((acc, coef, i) => acc + coef * Math.pow(end, xs.length - i - 1), 0) > 0) {
    begin *= 2.0;
    end *= 2.0;
  }

  while (end - begin > 1e-10) {
    const center = (begin + end) / 2.0;
    const polyBegin = xs.reduce((acc, coef, i) => acc + coef * Math.pow(begin, xs.length - i - 1), 0);
    const polyCenter = xs.reduce((acc, coef, i) => acc + coef * Math.pow(center, xs.length - i - 1), 0);

    if (polyCenter * polyBegin > 0) {
      begin = center;
    } else {
      end = center;
    }
  }

  return begin;
}",1007,"[
    console.assert(Math.abs(poly([-10], sort_third(JSON.parse(JSON.stringify([-10]))))) < 1e-4),
    console.assert(Math.abs(poly([-10, -2], sort_third(JSON.parse(JSON.stringify([-10, -2]))))) < 1e-4),
    console.assert(Math.abs(poly([-3], sort_third(JSON.parse(JSON.stringify([-3]))))) < 1e-4),
    console.assert(Math.abs(poly([-3, -6], sort_third(JSON.parse(JSON.stringify([-3, -6]))))) < 1e-4),
    console.assert(Math.abs(poly([-3, -6, -7], sort_third(JSON.parse(JSON.stringify([-3, -6, -7]))))) < 1e-4),
    console.assert(Math.abs(poly([-3, -6, -7, 7], sort_third(JSON.parse(JSON.stringify([-3, -6, -7, 7]))))) < 1e-4),
    console.assert(Math.abs(poly([8], sort_third(JSON.parse(JSON.stringify([8]))))) < 1e-4),
    console.assert(Math.abs(poly([8, 3], sort_third(JSON.parse(JSON.stringify([8, 3]))))) < 1e-4),
    console.assert(Math.abs(poly([-10], sort_third(JSON.parse(JSON.stringify([-10]))))) < 1e-4),
    console.assert(Math.abs(poly([-10, -8], sort_third(JSON.parse(JSON.stringify([-10, -8]))))) < 1e-4),
    console.assert(Math.abs(poly([-3], sort_third(JSON.parse(JSON.stringify([-3]))))) < 1e-4),
    console.assert(Math.abs(poly([-3, 6], sort_third(JSON.parse(JSON.stringify([-3, 6]))))) < 1e-4),
    console.assert(Math.abs(poly([-3, 6, 9], sort_third(JSON.parse(JSON.stringify([-3, 6, 9]))))) < 1e-4),
    console.assert(Math.abs(poly([-3, 6, 9, -10], sort_third(JSON.parse(JSON.stringify([-3, 6, 9, -10]))))) < 1e-4),
    console.assert(Math.abs(poly([10], sort_third(JSON.parse(JSON.stringify([10]))))) < 1e-4),
    console.assert(Math.abs(poly([10, 7], sort_third(JSON.parse(JSON.stringify([10, 7]))))) < 1e-4),
    console.assert(Math.abs(poly([10, 7, 3], sort_third(JSON.parse(JSON.stringify([10, 7, 3]))))) < 1e-4),
    console.assert(Math.abs(poly([10, 7, 3, -3], sort_third(JSON.parse(JSON.stringify([10, 7, 3, -3]))))) < 1e-4),
    console.assert(Math.abs(poly([8], sort_third(JSON.parse(JSON.stringify([8]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2], sort_third(JSON.parse(JSON.stringify([8, -2]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2, -10], sort_third(JSON.parse(JSON.stringify([8, -2, -10]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2, -10, -5], sort_third(JSON.parse(JSON.stringify([8, -2, -10, -5]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2, -10, -5, 3], sort_third(JSON.parse(JSON.stringify([8, -2, -10, -5, 3]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2, -10, -5, 3, 1], sort_third(JSON.parse(JSON.stringify([8, -2, -10, -5, 3, 1]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2, -10, -5, 3, 1, -2], sort_third(JSON.parse(JSON.stringify([8, -2, -10, -5, 3, 1, -2]))))) < 1e-4),
    console.assert(Math.abs(poly([8, -2, -10, -5, 3, 1, -2, -6], sort_third(JSON.parse(JSON.stringify([8, -2, -10, -5, 3, 1, -2, -6]))))) < 1e-4),
    console.assert(Math.abs(poly([1], sort_third(JSON.parse(JSON.stringify([1]))))) < 1e-4),
    console.assert(Math.abs(poly([1, -7], sort_third(JSON.parse(JSON.stringify([1, -7]))))) < 1e-4),
    console.assert(Math.abs(poly([1, -7, -8], sort_third(JSON.parse(JSON.stringify([1, -7, -8]))))) < 1e-4),
    console.assert(Math.abs(poly([1, -7, -8, 2], sort_third(JSON.parse(JSON.stringify([1, -7, -8, 2]))))) < 1e-4),
    console.assert(Math.abs(poly([1], sort_third(JSON.parse(JSON.stringify([1]))))) < 1e-4),
    console.assert(Math.abs(poly([1, 1], sort_third(JSON.parse(JSON.stringify([1, 1]))))) < 1e-4),
    console.assert(Math.abs(poly([-9], sort_third(JSON.parse(JSON.stringify([-9]))))) < 1e-4),
    console.assert(Math.abs(poly([-9, 4], sort_third(JSON.parse(JSON.stringify([-9, 4]))))) < 1e-4),
    console.assert(Math.abs(poly([-9, 4, 7], sort_third(JSON.parse(JSON.stringify([-9, 4, 7]))))) < 1e-4),
    console.assert(Math.abs(poly([-9, 4, 7, -7], sort_third(JSON.parse(JSON.stringify([-9, 4, 7, -7]))))) < 1e-4),
    console.assert(Math.abs(poly([-9, 4, 7, -7, 2], sort_third(JSON.parse(JSON.stringify([-9, 4, 7, -7, 2]))))) < 1e-4),
    console.assert(Math.abs(poly([-9, 4, 7, -7, 2, -8], sort_third(JSON.parse(JSON.stringify([-9, 4, 7, -7, 2, -8]))))) < 1e-4)
]",
1016,"this function takes a list of integers and returns a new list with each element incremented by 1.
","
function incrList(l) {
    return l.map(e => e + 1);
}
",1017,"
[console.assert(incrList([]).toString() === [].toString()), 
 console.assert(incrList([3, 2, 1]).toString() === [4, 3, 2].toString()), 
 console.assert(incrList([5, 2, 5, 2, 3, 3, 9, 0, 123]).toString() === [6, 3, 6, 3, 4, 4, 10, 1, 124].toString())]
",
1021,"this function returns the median value of a list of numbers, which is the middle value when sorted, or the average of the two middle values if the list has an even number of elements.
","
function median(l) {
    l.sort((a, b) => a - b);
    if (l.length % 2 === 1) {
        return l[Math.floor(l.length / 2)];
    } else {
        return (l[l.length / 2 - 1] + l[l.length / 2]) / 2.0;
    }
}
",1022,"
[console.assert(median([3, 1, 2, 4, 5]) === 3), console.assert(median([-10, 4, 6, 1000, 10, 20]) === 8.0), console.assert(median([5]) === 5), console.assert(median([6, 5]) === 5.5), console.assert(median([8, 1, 3, 9, 9, 2, 7]) === 7)]
",
