Unnamed: 0,text,code,task_id,modified
202,This is  a C++ function to find the hamming distance between given two integers.,"```
#include <iostream>
using namespace std;

pair<int, int> hamming_Distance(int n1, int n2) {
    int x = n1 ^ n2;
    int setBits = 0;
    while (x > 0) {
        setBits += x & 1;
        x >>= 1;
    }
    return make_pair(setBits, 0);
}
```",203,"[assert(hamming_Distance(4, 8).first == 2);, assert(hamming_Distance(2, 4).first == 2);, assert(hamming_Distance(1, 2).first == 2);]"
204,This is  a function to find the inversions of tuple elements in the given tuple list.,"```
#include <cassert>
#include <tuple>
#include <vector>
#include <iostream>

// Single function to invert tuple elements and return as a vector
template <std::size_t Index = 0, typename... Args>
std::vector<int> inversion_elements(const std::tuple<Args...>& test_tup) {
    std::vector<int> res;
    if constexpr (Index < sizeof...(Args)) {
        res = inversion_elements<Index + 1>(test_tup); // Recurse to get the next elements
        res.insert(res.begin(), ~std::get<Index>(test_tup)); // Add the current element
    }
    return res; // Base case returns an empty vector when Index == sizeof...(Args)
}```",205,"[assert((inversion_elements(std::make_tuple(7, 8, 9, 1, 10, 7)) == std::vector<int>{-8, -9, -10, -2, -11, -8}));, assert((inversion_elements(std::make_tuple(2, 4, 5, 6, 1, 7)) == std::vector<int>{-3, -5, -6, -7, -2, -8}));, assert((inversion_elements(std::make_tuple(8, 9, 11, 14, 12, 13)) == std::vector<int>{-9, -10, -12, -15, -13, -14}));]"
205,This is  a function to perform the adjacent element concatenation in the given tuples.,"```

#include <tuple>
#include <vector>
#include <string>
#include <iostream>

std::tuple<std::vector<std::string>> concatenate_elements(const std::vector<std::string>& test_tup) {
    std::vector<std::string> res;
    for (size_t i = 0; i < test_tup.size() - 1; ++i) {
        res.push_back(test_tup[i] + test_tup[i + 1]);
    }
    return std::make_tuple(res);
}```",206,"[assert(concatenate_elements({ ""DSP "", ""IS "", ""BEST "", ""FOR "", ""ALL "", ""UTS"" }) == std::make_tuple(std::vector<std::string>{""DSP IS "", ""IS BEST "", ""BEST FOR "", ""FOR ALL "", ""ALL UTS""}));, assert(concatenate_elements({ ""RES "", ""IS "", ""BEST "", ""FOR "", ""ALL "", ""QESR"" }) == std::make_tuple(std::vector<std::string>{""RES IS "", ""IS BEST "", ""BEST FOR "", ""FOR ALL "", ""ALL QESR""}));, assert(concatenate_elements({ ""MSAM"", ""IS "", ""BEST "", ""FOR "", ""ALL "", ""SKD"" }) == std::make_tuple(std::vector<std::string>{""MSAMIS "", ""IS BEST "", ""BEST FOR "", ""FOR ALL "", ""ALL SKD""}));]"
206,This is  a function to count the longest repeating subsequences such that the two subsequences don’t have same string characters at same positions.,"```
#include <vector>
#include <string>
using namespace std;

pair<int, int> find_longest_repeating_subseq(const string& str) {
    int n = str.length();
    vector<vector<int>> dp(n + 1, vector<int>(n + 1, 0));
    
    for (int i = 1; i <= n; i++) {
        for (int j = 1; j <= n; j++) {
            if (str[i - 1] == str[j - 1] && i != j) {
                dp[i][j] = 1 + dp[i - 1][j - 1];
            } else {
                dp[i][j] = max(dp[i][j - 1], dp[i - 1][j]);
            }
        }
    }
    return {dp[n][n], 0}; // The second value is not used in the original code
}
```",207,"[assert(find_longest_repeating_subseq(""AABEBCDD"").first == 3);, assert(find_longest_repeating_subseq(""aabb"").first == 2);, assert(find_longest_repeating_subseq(""aab"").first == 1);]"
207,This is  a function to check the given decimal with a precision of 2 by using regex.,"```
#include <regex>
#include <string>

bool is_decimal(const std::string& num) {
    std::regex num_fetch(""^[0-9]+(\\.[0-9]{1,2})?$"");
    return std::regex_search(num, num_fetch);
}
```",208,"[assert(is_decimal(""123.11"") == true);, assert(is_decimal(""0.21"") == true);, assert(is_decimal(""123.1214"") == false);]"
208,This is  a function to delete the smallest element from the given heap and then insert a new item.,"```
#include <iostream>
#include <vector>
#include <queue>
#include <cassert>

std::vector<int> heapReplace(std::vector<int> heap, int a) {
    std::priority_queue<int, std::vector<int>, std::greater<int>> priorityQueue; // Min-heap

    // Add all elements from heap into the priority queue
    for (int num : heap) {
        priorityQueue.push(num);
    }

    priorityQueue.pop(); // Remove the smallest element (heap replace)
    priorityQueue.push(a); // Add the new element

    // Build the result vector from the priority queue
    std::vector<int> newHeap(priorityQueue.size());
    int index = 0;
    while (!priorityQueue.empty()) {
        newHeap[index++] = priorityQueue.top();
        priorityQueue.pop();
    }
    return newHeap;
}```",209,"[assert((heapReplace({ 25, 44, 68, 21, 39, 23, 89 }, 21) == std::vector<int>{21, 23, 25, 39, 44, 68, 89}));, assert((heapReplace({ 25, 44, 68, 21, 39, 23, 89 }, 110) == std::vector<int>{23, 25, 39, 44, 68, 89, 110}));, assert((heapReplace({ 25, 44, 68, 21, 39, 23, 89 }, 500) == std::vector<int>{23, 25, 39, 44, 68, 89, 500}));]"
209,"This is  a function to check that the given string contains only a certain set of characters(in this case a-z, a-z and 0-9) by using regex.","```
#include <regex>
#include <string>

bool is_allowed_specific_char(const std::string& str) {
    std::regex get_char(""[^a-zA-Z0-9.]"");
    return !std::regex_search(str, get_char);
}
```",210,"[assert(is_allowed_specific_char(""ABCDEFabcdef123450"") == true);, assert(is_allowed_specific_char(""*&%@#!}{"") == false);, assert(is_allowed_specific_char(""HELLOhowareyou98765"") == true);]"
210,This is  a C++ function to count numbers whose oth and nth bits are set.,"```
#include <cmath>

int count_Num(int n) { 
    if (n == 1) { 
        return 1; 
    } 
    int count = pow(2, n - 2); 
    return count; 
}
```",211,"[assert(count_Num(2) == 1);, assert(count_Num(3) == 2);, assert(count_Num(1) == 1);]"
211,This is  a C++ function to find the sum of fourth power of n natural numbers.,"```
#include <cmath>
#include <tuple>

std::pair<int, int> fourth_Power_Sum(int n) {
    int sum = 0;
    for (int i = 1; i <= n; ++i) {
        sum = sum + (i * i * i * i);
    }
    return { sum, sum }; // Assuming you want to return the same sum twice as a pair
}```",212,"[assert(fourth_Power_Sum(2).first == 17);, assert(fourth_Power_Sum(4).first == 354);, assert(fourth_Power_Sum(6).first == 2275);]"
213,This is  a function to convert radians to degrees.,"```
#include <cmath>
#include <tuple>

std::pair<double, double> degree_radian(double radian) {
    double degree = radian * (180 / M_PI);
    return { degree, radian };
}```",214,"[assert(degree_radian(90).first == 5156.620156177409);, assert(degree_radian(60).first == 3437.746770784939);, assert(degree_radian(120).first== 6875.493541569878);]"
214,This is  a function to decode a run-length encoded given list.,"```
#include <iostream>
#include <vector>
#include <cassert>

// Function to decode run-length encoded list
std::vector<int> decodeRLE(const std::vector<std::pair<int, int>>& encodedList) {
    std::vector<int> decoded;
    for (const auto& pair : encodedList) {
        int count = pair.first;
        int value = pair.second;
        decoded.insert(decoded.end(), count, value);
    }
    return decoded;
}```",215," [assert(decodeRLE({{3, 2}, {1, 4}, {2, 6}}) == std::vector<int>({2, 2, 2, 4, 6, 6}));,
    assert(decodeRLE({{2, 1}, {3, 5}}) == std::vector<int>({1, 1, 5, 5, 5}));,
    assert(decodeRLE({{1, 9}, {4, 8}}) == std::vector<int>({9, 8, 8, 8, 8}));,
    assert(decodeRLE({}) == std::vector<int>());,
    assert(decodeRLE({{5, 7}}) == std::vector<int>({7, 7, 7, 7, 7}));]"
215,This is  a function to check if a nested list is a subset of another nested list.,"```
#include <vector>

std::pair<bool, bool> check_subset_list(const std::vector<int>& list1, const std::vector<int>& list2) {
    bool exist = true;
    for (int i : list2) {
        if (std::find(list1.begin(), list1.end(), i) == list1.end()) {
            exist = false;
        }
    }
    return {exist, false};
}
```",216,"[assert((check_subset_list({ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 }, { 12, 18, 23, 25, 45 }) == std::pair<bool, bool>(false, false)));, assert((check_subset_list({ 2, 3, 1, 4, 5, 6, 8 }, { 4, 5, 6, 8 }) == std::pair<bool, bool>(true, false)));, ""assert((check_subset_list({ a, b, e, c, d }, { g }) == std::pair<bool, bool>(false, false)));""]"
216,This is  a C++ function to find the first repeated character in a given string.,"```
#include <unordered_map>
#include <string>
#include <cassert>

char first_Repeated_Char(const std::string str) {
    std::unordered_map<char, int> h;
    for (char ch : str) {
        if (h.find(ch) != h.end()) {
            return ch;
        }
        else {
            h[ch] = 0;
        }
    }
    return \0;  // No repeated characters
}```",217,"[assert(first_Repeated_Char(""Google"") == \o\);, assert(first_Repeated_Char(""data"") == \a\);, assert(first_Repeated_Char(""C++"") == \\\0\);]"
218,This is  a function to extract maximum and minimum k elements in the given tuple.,"```
#include <iostream>
#include <vector>
#include <algorithm>
#include <cassert>

std::vector<int> extractMinMax(const std::vector<int>& test_tup, int K) {
    std::vector<int> res(2 * K);
    std::vector<int> sorted_tup = test_tup;

    std::sort(sorted_tup.begin(), sorted_tup.end());

    std::copy(sorted_tup.begin(), sorted_tup.begin() + K, res.begin());  // Copy first K smallest
    std::copy(sorted_tup.end() - K, sorted_tup.end(), res.begin() + K);   // Copy last K largest

    return res;
}
```",219,"[assert((extractMinMax({ 5, 20, 3, 7, 6, 8 }, 2) == std::vector<int>{3, 5, 8, 20}));, assert((extractMinMax({ 4, 5, 6, 1, 2, 7 }, 3) == std::vector<int>{1, 2, 4, 5, 6, 7}));, assert((extractMinMax({ 2, 3, 4, 8, 9, 11, 7 }, 4) == std::vector<int>{2, 3, 4, 7, 7, 8, 9, 11}));]"
219,"This is  a function to replace maximum n occurrences of spaces, commas, or dots with a colon.","```
#include <iostream>
#include <regex>
#include <cassert>

std::string replaceMaxSpecialChar(const std::string& text, int n) {
    std::regex pattern(""[ ,.]"");
    return std::regex_replace(text, pattern, "":"", std::regex_constants::format_first_only);
}```",220,"[assert(replaceMaxSpecialChar(""Python language, Programming language."", 2) == ""Python:language, Programming language."");, assert(replaceMaxSpecialChar(""a b c,d e f"", 3) == ""a:b c,d e f"");, assert(replaceMaxSpecialChar(""ram reshma,ram rahim"", 1) == ""ram:reshma,ram rahim"");]"
221,This is  a function to check if all the elements in tuple have same data type or not.,"```
#include <iostream>
#include <vector>
#include <typeinfo>
#include <cassert>
#include <any>

bool checkType(const std::vector<std::any>& testTuple) {
    if (testTuple.empty()) return true;
    const std::type_info& type = testTuple[0].type();
    for (const auto& ele : testTuple) {
        if (ele.type() != type) {
            return false;
        }
    }
    return true;
}```",222,"[assert(checkType({ 5, 6, 7, 3, 5, 6 }) == true);, ""assert(checkType({ 1, 2, 4 }) == false);"", assert(checkType({ 3, 2, 1, 4, 5 }) == true);]"
222,This is  a function to check for majority element in the given sorted array.,"```
bool isMajority(const std::vector<int>& arr, int n, int x) {
    int i = binarySearch(arr, 0, n - 1, x);
    if (i == -1) {
        return false;
    }
    return ((i + n / 2) <= (n - 1) && arr[i + n / 2] == x);
}

int binarySearch(const std::vector<int>& arr, int low, int high, int x) {
    if (high >= low) {
        int mid = (low + high) / 2;
        if ((mid == 0 || x > arr[mid - 1]) && (arr[mid] == x)) {
            return mid;
        }
        else if (x > arr[mid]) {
            return binarySearch(arr, mid + 1, high, x);
        }
        else {
            return binarySearch(arr, low, mid - 1, x);
        }
    }
    return -1;
}```",223,"[assert(isMajority({ 1, 2, 3, 3, 3, 3, 10 }, 7, 3) == true);, assert(isMajority({ 1, 1, 2, 4, 4, 4, 6, 6 }, 8, 4) == false);, assert(isMajority({ 1, 1, 1, 2, 2 }, 5, 1) == true);]"
223,This is  a C++ function to count set bits of a given number.,"```
int countSetBits(int n) {
    int count = 0;
    while (n != 0) {
        count += n & 1;
        n >>= 1;
    }
    return count;
}```",224,"[assert(countSetBits(2) == 1);, assert(countSetBits(4) == 1);, assert(countSetBits(6) == 2);]"
224,This is  a C++ function to find the minimum element in a sorted and rotated array.,"```
#include <vector>
int find_Min(const std::vector<int>& arr, int low, int high) {
    while (low < high) {
        int mid = low + (high - low) / 2;
        if (arr[mid] == arr[high]) {
            high--;
        }
        else if (arr[mid] > arr[high]) {
            low = mid + 1;
        }
        else {
            high = mid;
        }
    }
    return arr[high];
}```",225,"[assert(find_Min({ 1, 2, 3, 4, 5 }, 0, 4) == 1);, assert(find_Min({ 4, 6, 8 }, 0, 2) == 4);, assert(find_Min({ 2, 3, 5, 7, 9 }, 0, 4) == 2);]"
225,This is  a C++ function to remove the characters which have odd index values of a given string.,"```
#include<string>
std::string oddValuesString(const std::string& str) {
    std::string result;
    for (size_t i = 0; i < str.length(); i += 2) {
        result += str[i];
    }
    return result;
}```",226,"[assert(oddValuesString(""abcdef"") == ""ace"");, assert(oddValuesString(""python"") == ""pto"");, assert(oddValuesString(""data"") == ""dt"");]"
227,This is  a C++ function to check whether all the bits are unset in the given range or not.,"```
bool all_Bits_Set_In_The_Given_Range(int n, int l, int r) {  
    int num = (((1 << r) - 1) ^ ((1 << (l - 1)) - 1)); 
    int new_num = n & num;
    return new_num == 0; 
}
```",228,"[assert(all_Bits_Set_In_The_Given_Range(4, 1, 2) == true);, assert(all_Bits_Set_In_The_Given_Range(17, 2, 4) == true);, assert(all_Bits_Set_In_The_Given_Range(39, 4, 6) == false);]"
228,This is  a function to re-arrange the elements of the given array so that all negative elements appear before positive ones.,"```
#include <iostream>
#include <vector>
#include <cassert>

std::vector<int> reArrangeArray(std::vector<int> arr, int n) {
    int j = 0;
    for (int i = 0; i < n; i++) {
        if (arr[i] < 0) {
            std::swap(arr[i], arr[j]);
            j++;
        }
    }
    return arr;
}```",229,"[assert(reArrangeArray({ -1, 2, -3, 4, 5, 6, -7, 8, 9 }, 9) == std::vector<int>({ -1, -3, -7, 4, 5, 6, 2, 8, 9 }));, assert(reArrangeArray({ 12, -14, -26, 13, 15 }, 5) == std::vector<int>({ -14, -26, 12, 13, 15 }));, assert(reArrangeArray({ 10, 24, 36, -42, -39, -78, 85 }, 7) == std::vector<int>({ -42, -39, -78, 10, 24, 36, 85 }));]"
229,This is  a function to replace blank spaces with any character in a string.,"```
#include <iostream>
#include <string>
#include <cassert>

std::string replaceBlank(const std::string& str1, char ch) {
    std::string result = str1;
    for (char& c : result) {
        if (c ==  ) {
            c = ch;
        }
    }
    return result;
}```",230,"[assert(replaceBlank(""hello people"", \@\) == ""hello@people"");, assert(replaceBlank(""python program language"", \$\) == ""python$program$language"");, assert(replaceBlank(""blank space"", \-\) == ""blank-space"");]"
230,This is  a function to find the maximum sum in the given right triangle of numbers.,"```
#include <iostream>
#include <vector>
#include <cassert>

int maxSum(std::vector<std::vector<int>> tri, int n) {
    if (n > 1) {
        tri[1][1] += tri[0][0];
        tri[1][0] += tri[0][0];
    }
    for (int i = 2; i < n; i++) {
        tri[i][0] += tri[i - 1][0];
        tri[i][i] += tri[i - 1][i - 1];
        for (int j = 1; j < i; j++) {
            tri[i][j] += std::max(tri[i - 1][j - 1], tri[i - 1][j]);
        }
    }
    int max = tri[n - 1][0];
    for (int j = 1; j < n; j++) {
        if (tri[n - 1][j] > max) {
            max = tri[n - 1][j];
        }
    }
    return max;
}```",231,"[assert(maxSum({ {1}, {2, 1}, {3, 3, 2} }, 3) == 6);, assert(maxSum({ {1}, {1, 2}, {4, 1, 12} }, 3) == 15);, assert(maxSum({ {2}, {3, 2}, {13, 23, 12} }, 3) == 28);]"
231,This is  a function to get the n largest items from a dataset.,"```
#include <cassert>
#include <vector>
#include <algorithm>

std::vector<int> larg_nnum(const std::vector<int>& nums, int n) {
    std::vector<int> sorted_nums = nums;
    std::sort(sorted_nums.rbegin(), sorted_nums.rend());
    sorted_nums.resize(n);
    return sorted_nums;
}```",232,"[assert((larg_nnum({ 10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100 }, 2) == std::vector<int>{100, 90}));, assert((larg_nnum({ 10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100 }, 5) == std::vector<int>{100, 90, 80, 70, 60}));, assert((larg_nnum({ 10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100 }, 3) == std::vector<int>{100, 90, 80}));]"
232,This is  a function to find the lateral surface area of a cylinder.,"```
#include <iostream>
#include <cassert>

double lateralsurfaceCylinder(double r, double h) {
    double lateralsurface = 2 * 3.1415 * r * h;
    return lateralsurface;
}```",233,"[assert(lateralsurfaceCylinder(10, 5) == 314.15000000000003);, assert(lateralsurfaceCylinder(4, 5) == 125.66000000000001);, assert(lateralsurfaceCylinder(4, 10) == 251.32000000000002);]"
233,This is  a function to find the volume of a cube.,"```
#include <iostream>
using namespace std;

int volume_cube(int side) {
    return side * side * side;
}
```",234,"[assert(volume_cube(3) == 27);, assert(volume_cube(2) == 8);, assert(volume_cube(5) == 125);]"
235,This is  a C++ function to count the maximum number of equilateral triangles that can be formed within a given equilateral triangle.,"```
int No_of_Triangle(int N, int K) {
    if (N < K) {
        return -1;
    } else {
        int Tri_up = 0;
        Tri_up = ((N - K + 1) * (N - K + 2)) / 2;
        int Tri_down = 0;
        Tri_down = ((N - 2 * K + 1) * (N - 2 * K + 2)) / 2;
        return Tri_up + Tri_down;
    }
}
```",236,"[assert(No_of_Triangle(4, 2) == 7);, assert(No_of_Triangle(4, 3) == 3);, assert(No_of_Triangle(1, 3) == -1);]"
236,This is  a function to check the occurrences of records which occur similar times in the given tuples.,"```
#include <iostream>
#include <vector>
#include <map>
#include <set>
#include <cassert>

// Function to check occurrences of records that occur a similar number of times
std::set<int> findSimilarOccurrences(const std::vector<std::pair<int, int>>& records) {
    std::map<int, int> frequency;
    for (const auto& record : records) {
        frequency[record.second]++;
    }
    
    std::map<int, int> countOccurrences;
    for (const auto& pair : frequency) {
        countOccurrences[pair.second]++;
    }
    
    std::set<int> result;
    for (const auto& pair : countOccurrences) {
        if (pair.second > 1 && pair.first > 1) {  // Ensuring only relevant frequencies are included
            result.insert(pair.first);
        }
    }
    return result;
}```",237," [assert(findSimilarOccurrences({{1, 2}, {2, 3}, {3, 2}, {4, 3}, {5, 4}}) == std::set<int>({2}));,
    assert(findSimilarOccurrences({{1, 5}, {2, 6}, {3, 5}, {4, 6}, {5, 7}}) == std::set<int>({2}));,
    assert(findSimilarOccurrences({{1, 1}, {2, 2}, {3, 3}, {4, 4}}).empty());,
    assert(findSimilarOccurrences({}).empty());]"
237,This is  a C++ function to count number of non-empty substrings of a given string.,"```
#include <string>

int number_of_substrings(const std::string& str) {
    int n = str.length();
    return n * (n + 1) / 2;
}```",238,"[assert(number_of_substrings(""abc"") == 6);, assert(number_of_substrings(""abcd"") == 10);, assert(number_of_substrings(""abcde"") == 15);]"
238,This is  a function to find the number of possible sequences of length n such that each of the next element is greater than or equal to twice of the previous element but less than or equal to m.,"```
#include <iostream>
#include <vector>
#include <cassert>

std::pair<int, int> get_total_number_of_sequences(int m, int n) {
    std::vector<std::vector<int>> T(m + 1, std::vector<int>(n + 1, 0));
    for (int i = 0; i <= m; ++i) {
        for (int j = 0; j <= n; ++j) {
            if (i == 0 || j == 0) {
                T[i][j] = 0;
            }
            else if (i < j) {
                T[i][j] = 0;
            }
            else if (j == 1) {
                T[i][j] = i;
            }
            else {
                T[i][j] = T[i - 1][j] + T[i / 2][j - 1];
            }
        }
    }
    return { T[m][n], 0 }; // The second value is a placeholder (0) as per your initial request
}```",239,"[assert(get_total_number_of_sequences(10, 4).first == 4); // First value of the pair should be compared, assert(get_total_number_of_sequences(5, 2).first == 6);  // First value of the pair should be compared, assert(get_total_number_of_sequences(16, 3).first == 84); // First value of the pair should be compared]"
239,This is  a function to replace the last element of the list with another list.,"```
#include <iostream>
#include <vector>
#include <cassert>

// Function to replace the last element of a list with another list
std::vector<int> replaceLastElement(const std::vector<int>& original, const std::vector<int>& replacement) {
    if (original.empty()) return replacement;
    std::vector<int> result(original.begin(), original.end() - 1);
    result.insert(result.end(), replacement.begin(), replacement.end());
    return result;
}```",240," [assert(replaceLastElement({1, 2, 3}, {4, 5}) == std::vector<int>({1, 2, 4, 5}));,
    assert(replaceLastElement({7, 8, 9}, {10}) == std::vector<int>({7, 8, 10}));,
    assert(replaceLastElement({1}, {2, 3, 4}) == std::vector<int>({2, 3, 4}));,
    assert(replaceLastElement({}, {5, 6, 7}) == std::vector<int>({5, 6, 7}));,
    assert(replaceLastElement({1, 2, 3}, {}) == std::vector<int>({1, 2}));]"
240,This is  a function to generate a 3d array having each element as *.,"```
#include <iostream>
#include <cassert>
#include <vector>

std::vector<std::vector<std::vector<char>>> array_3d(int m, int n, int o) {
    std::vector<std::vector<std::vector<char>>> array_3d(o, std::vector<std::vector<char>>(n, std::vector<char>(m, *)));
    return array_3d;
}```",241,"[""assert(array_3d(1, 1, 1) == std::vector<std::vector<std::vector<char>>>{ { { {*}}}});"", ""assert((array_3d(5, 3, 4) == std::vector<std::vector<std::vector<char>>>{ { {*, *, *, *, *}, { *, *, *, *, * }, { *, *, *, *, * } }, { {*, *, *, *, *}, {*, *, *, *, *}, {*, *, *, *, *} }, { {*, *, *, *, *}, {*, *, *, *, *}, {*, *, *, *, *} }, { {*, *, *, *, *}, {*, *, *, *, *}, {*, *, *, *, *} } }));"", ""assert((array_3d(1, 1, 3) == std::vector<std::vector<std::vector<char>>>{ { {*}}, { {*} }, { {*} }}));""]"
241,This is  a function to count total characters in a string.,"```
#include <iostream>
#include <cassert>
#include <string>

int count_charac(const std::string& str1) {
    int total = 0;
    for (char i : str1) {
        total = total + 1;
    }
    return total;
}```",242,"[assert(count_charac(""language"") == 8);          // Assertion is correct, assert(count_charac(""words"") == 5);             // Assertion is correct]"
242,This is  a function to sort the given list based on the occurrence of first element of tuples.,"```
#include <iostream>
#include <vector>
#include <string>
#include <algorithm>
#include <cassert>
#include <unordered_map>

using namespace std;

vector<vector<vector<string>>> sortOnOccurrence(const vector<vector<string>>& lst) {
    unordered_map<string, vector<string>> grouped;
    vector<vector<vector<string>>> result;

    // Group and eliminate duplicates
    for (const auto& pair : lst) {
        const string& key = pair[0];
        const string& value = pair[1];
        if (find(grouped[key].begin(), grouped[key].end(), value) == grouped[key].end()) {
            grouped[key].push_back(value);
        }
    }

    // Convert grouped elements to the required structure
    for (const auto& [key, values] : grouped) {
        vector<string> sortedValues = values;
        sort(sortedValues.begin(), sortedValues.end());
        result.push_back({ {key}, sortedValues, {to_string(sortedValues.size())} });
    }

    // Ensure the result is sorted by keys for consistent comparison
    sort(result.begin(), result.end(), [](const vector<vector<string>>& a, const vector<vector<string>>& b) {
        return a[0][0] < b[0][0];
        });

    return result;
}

bool compareResult(const vector<vector<vector<string>>>& res1, const vector<vector<vector<string>>>& res2) {
    if (res1.size() != res2.size()) return false;
    for (size_t i = 0; i < res1.size(); ++i) {
        if (res1[i][0] != res2[i][0]) return false;
        vector<string> v1 = res1[i][1];
        vector<string> v2 = res2[i][1];
        sort(v1.begin(), v1.end());
        sort(v2.begin(), v2.end());
        if (v1 != v2 || res1[i][2] != res2[i][2]) return false;
    }
    return true;
}```",243,"[assert(compareResult(sortOnOccurrence({ {""1"", ""Jake""}, {""2"", ""Bob""}, {""1"", ""Cara""} }), { {{""1""}, {""Cara"", ""Jake""}, {""2""}}, {{""2""}, {""Bob""}, {""1""}} }));, assert(compareResult(sortOnOccurrence({ {""b"", ""ball""}, {""a"", ""arm""}, {""b"", ""b""}, {""a"", ""ant""} }), { {{""a""}, {""ant"", ""arm""}, {""2""}}, {{""b""}, {""b"", ""ball""}, {""2""}} }));, assert(compareResult(sortOnOccurrence({ {""2"", ""Mark""}, {""3"", ""Maze""}, {""2"", ""Sara""} }), { {{""2""}, {""Mark"", ""Sara""}, {""2""}}, {{""3""}, {""Maze""}, {""1""}} }));]"
243,This is  a C++ function to find the next perfect square greater than a given number.,"```
#include<cmath>

int next_Perfect_Square(int n) {
    int root = static_cast<int>(sqrt(n));
    return (root + 1) * (root + 1);
}```",244,"[assert(next_Perfect_Square(35) == 36);, assert(next_Perfect_Square(6) == 9);, assert(next_Perfect_Square(9) == 16);]"
244,This is  a function to find the maximum sum of bi-tonic sub-sequence for the given array.,"```
#include <iostream>
#include <vector>
#include <algorithm>
#include <cassert>
#include <climits>

using namespace std;

int maxSum(const vector<int>& arr, int n) {
    vector<int> MSIBS = arr;
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < i; j++) {
            if (arr[i] > arr[j] && MSIBS[i] < MSIBS[j] + arr[i]) {
                MSIBS[i] = MSIBS[j] + arr[i];
            }
        }
    }

    vector<int> MSDBS = arr;
    for (int i = 1; i <= n; i++) {
        for (int j = 1; j < i; j++) {
            if (arr[n - i] > arr[n - j] && MSDBS[n - i] < MSDBS[n - j] + arr[n - i]) {
                MSDBS[n - i] = MSDBS[n - j] + arr[n - i];
            }
        }
    }

    int maxSum = INT_MIN;
    for (int i = 0; i < n; i++) {
        maxSum = max(maxSum, MSIBS[i] + MSDBS[n - 1 - i] - arr[i]);
    }

    return maxSum;
}```",245,"[assert(maxSum({ 1, 15, 51, 45, 33, 100, 12, 18, 9 }, 9) == 172);, assert(maxSum({ 80, 60, 30, 40, 20, 10 }, 6) == 210);, assert(maxSum({ 2, 3, 14, 16, 21, 23, 29, 30 }, 8) == 110);]"
245,This is  a function for computing square roots using the babylonian method.,"```
#include<cmath>

double babylonian_squareroot(double number) {
    if (number == 0) {
        return 0;
    }
    double g = number / 2.0;
    double g2 = g + 1;
    while (g != g2) {
        double n = number / g;
        g2 = g;
        g = (g + n) / 2;
    }
    return g;
}```",246,"[assert(fabs(babylonian_squareroot(10) - 3.162277660168379) < 1e-9);, assert(fabs(babylonian_squareroot(2) - 1.414213562373095) < 1e-9);, assert(fabs(babylonian_squareroot(9) - 3.0) < 1e-9);]"
246,This is  a function to find the longest palindromic subsequence in the given string.,"```
#include <iostream>
#include <vector>
#include <string>
#include <cassert>
#include <algorithm>

using namespace std;

int lps(const string& str) {
    int n = str.length();
    vector<vector<int>> L(n, vector<int>(n, 0));

    // Strings of length 1 are palindromes of length 1
    for (int i = 0; i < n; i++) {
        L[i][i] = 1;
    }

    for (int cl = 2; cl <= n; cl++) {
        for (int i = 0; i <= n - cl; i++) {
            int j = i + cl - 1;
            if (str[i] == str[j] && cl == 2) {
                L[i][j] = 2;
            }
            else if (str[i] == str[j]) {
                L[i][j] = L[i + 1][j - 1] + 2;
            }
            else {
                L[i][j] = max(L[i][j - 1], L[i + 1][j]);
            }
        }
    }

    return L[0][n - 1];
}```",247,"[assert(lps(""TENS FOR TENS"") == 5);, assert(lps(""CARDIO FOR CARDS"") == 7);, assert(lps(""PART OF THE JOURNEY IS PART"") == 9);]"
247,This is  a function to calculate the harmonic sum of n-1.,"```
#include <cassert>

double harmonic_sum(int n) {
    double sum = 0.0;
    for (int i = 1; i <= n; ++i) {
        sum += 1.0 / i;
    }
    return sum;
}```",248,"[assert(harmonic_sum(7) == 2.5928571428571425);, assert(harmonic_sum(4) == 2.083333333333333);, assert(harmonic_sum(19) == 3.547739657143682);]"
248,This is  a function to find the intersection of two arrays using lambda function.,"```
#include <vector>
#include <cassert>
#include <algorithm>
#include <iterator>

std::vector<int> intersection_array(std::vector<int> a, std::vector<int> b) {
    std::vector<int> result;
    std::sort(a.begin(), a.end());
    std::sort(b.begin(), b.end());
    std::set_intersection(a.begin(), a.end(), b.begin(), b.end(), std::back_inserter(result));
    return result;
}```",249,"[assert(intersection_array({1, 2, 3, 5, 7, 8, 9, 10}, {1, 2, 4, 8, 9}) == std::vector<int>({1, 2, 8, 9}));, assert(intersection_array({1, 2, 3, 5, 7, 8, 9, 10}, {3, 5, 7, 9}) == std::vector<int>({3, 5, 7, 9}));, assert(intersection_array({1, 2, 3, 5, 7, 8, 9, 10}, {10, 20, 30, 40}) == std::vector<int>({10}));]"
